Unnamed: 0.1,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
14,14,technology changing way live, Neutral   ,1/19/2023 9:45, TechEnthusiast, Twitter  , #Tech #Innovation                       ,15,30, India    ,2023,1,19,9
15,15,reflecting past looking ahead, Positive  ,1/19/2023 13:20, Reflections  , Facebook , #Reflection #Future                     ,20,40, USA      ,2023,1,19,13
16,16,adopted cute furry friend 🐾, Positive  ,1/19/2023 17:10, PetAdopter   , Instagram , #PetAdoption #FurryFriend               ,15,30, Canada    ,2023,1,19,17
17,17,latenight gaming session friends, Positive  ,1/20/2023 0:05, GamerX       , Twitter  , #Gaming #LateNight                      ,18,35, UK       ,2023,1,20,0
18,18,attending virtual conference ai, Neutral   ,1/20/2023 11:30, TechConference, Facebook , #AI #TechConference                     ,25,50,USA,2023,1,20,11
19,19,winter blues got feeling low, Negative  ,1/20/2023 15:15, WinterBlues  , Instagram , #WinterBlues #Mood                      ,8,15, USA       ,2023,1,20,15
20,20,sipping coffee enjoying good book, Positive  ,1/21/2023 8:40, Bookworm     , Twitter  , #Reading #CoffeeTime                    ,22,45, India    ,2023,1,21,8
21,21,exploring world virtual reality, Positive  ,1/21/2023 13:20, VRExplorer   , Facebook , #VR #VirtualReality                     ,15,30,USA,2023,1,21,13
22,22,productive day ticking todo list, Positive  ,1/21/2023 16:45, ProductivityPro, Instagram , #Productivity #WorkFromHome           ,30,60, USA ,2023,1,21,16
23,23,finished challenging workout routine, Positive  ,1/22/2023 9:15, FitnessWarrior, Twitter  , #Fitness #ChallengeAccepted             ,20,40, UK       ,2023,1,22,9
24,24,celebrating milestone work 🎉, Positive  ,1/22/2023 14:30, CareerMilestone, Facebook , #Career #Milestone                      ,12,25, Canada  ,2023,1,22,14
25,25,sunday brunch friends, Positive  ,1/22/2023 12:00, BrunchBuddy  , Instagram , #Brunch #Friends                       ,15,30, UK ,2023,1,22,12
27,28,learning new language personal growth, Positive  ,1/23/2023 16:20, LanguageLearner, Facebook , #LanguageLearning #PersonalGrowth       ,25,50, India     ,2023,1,23,16
28,29,quiet evening good book, Positive  ,1/23/2023 19:45, BookLover    , Instagram , #Reading #QuietTime                     ,15,30, Australia ,2023,1,23,19
29,30,reflecting importance mental health, Positive  ,1/24/2023 11:30, MentalHealthMatters, Twitter  , #MentalHealth #SelfCare                 ,22,45, USA      ,2023,1,24,11
30,31,new painting progress 🎨, Positive  ,1/24/2023 15:00, ArtistInAction, Facebook , #Art #PaintingInProgress             ,12,25, Canada ,2023,1,24,15
31,32,weekend road trip explore scenic views, Positive  ,1/24/2023 17:30, RoadTripper  , Instagram , #RoadTrip #ScenicViews                  ,18,35, UK        ,2023,1,24,17
32,33,enjoying cup tea watching sunset, Positive  ,1/25/2023 18:00, SunsetWatcher, Twitter  , #TeaTime #Sunset                       ,15,30, India    ,2023,1,25,18
33,34,coding new project enthusiasm, Positive  ,1/25/2023 13:15, CodeEnthusiast, Facebook , #Coding #Enthusiasm                   ,30,60, USA ,2023,1,25,13
34,35,feeling inspired attending workshop, Positive  ,1/26/2023 9:45, WorkshopAttendee, Instagram , #Inspiration #Workshop                  ,25,50,USA,2023,1,26,9
35,36,winter sports day local park, Positive  ,1/26/2023 14:20, WinterSports  , Twitter  , #WinterSports #Fun                     ,15,30, Canada   ,2023,1,26,14
36,37,quality time family weekend, Positive  ,1/26/2023 17:40, FamilyTime   , Facebook , #FamilyTime #Weekend                    ,22,45, UK        ,2023,1,26,17
37,38,attending live music concert tonight, Positive  ,1/27/2023 20:00, MusicLover   , Instagram , #Music #ConcertNight                  ,18,35, USA ,2023,1,27,20
38,39,practicing mindfulness meditation, Positive  ,1/27/2023 12:30, MindfulMoments, Twitter  , #Mindfulness #Meditation               ,15,30, India    ,2023,1,27,12
39,40,trying new dessert recipe, Positive  ,1/27/2023 16:10, DessertExplorer, Facebook , #Dessert #Cooking                      ,12,25, Canada ,2023,1,27,16
40,41,excited upcoming gaming tournament, Positive  ,1/28/2023 9:00, GamingEnthusiast, Instagram , #Gaming #Tournament                     ,30,60,USA,2023,1,28,9
41,42,planning garden makeover spring, Positive  ,1/28/2023 14:45, GardenPlanner , Twitter  , #Gardening #Spring                     ,25,50, USA      ,2023,1,28,14
42,43,celebrating friends birthday tonight 🎂, Positive  ,1/28/2023 19:30, BirthdayBash , Facebook , #Birthday #Celebration                  ,15,30, UK ,2023,1,28,19
43,44,feeling accomplished productive day, Positive  ,1/29/2023 17:00, ProductivityWin, Instagram , #Accomplished #Success               ,22,45, India ,2023,1,29,17
44,45,cozy evening good movie, Positive  ,1/29/2023 20:20, MovieNight   , Twitter  , #CozyNight #MovieTime                   ,18,35, Canada   ,2023,1,29,20
45,46,exploring local art galleries weekend, Positive  ,1/30/2023 11:30, ArtExplorer  , Facebook , #Art #GalleryExplore                    ,15,30, USA      ,2023,1,30,11
46,47,new book release favorite author, Positive  ,1/30/2023 15:45, BookwormX    , Instagram , #BookRelease #FavoriteAuthor           ,12,25, UK   ,2023,1,30,15
47,48,attending virtual reality meetup, Positive  ,1/30/2023 18:30, VRMeetup     , Twitter  , #VRMeetup #VirtualReality               ,28,55, India    ,2023,1,30,18
48,49,reflecting beauty nature, Positive  ,1/31/2023 10:45, NatureLover  , Facebook , #Nature #Reflection                     ,15,30, Australia ,2023,1,31,10
49,50,cooking special dinner loved ones, Positive  ,1/31/2023 19:00, ChefAtHome   , Instagram , #Cooking #SpecialDinner                ,20,40, USA       ,2023,1,31,19
50,51,feeling optimistic week ahead, Positive  ,1/31/2023 16:20, OptimisticMindset, Twitter  , #Optimism #NewWeek                     ,15,30, Canada   ,2023,1,31,16
51,52,starting new fitness challenge tomorrow 💪, Positive  ,2/1/2023 8:00, FitnessChallenge, Facebook , #FitnessChallenge #NewBeginnings       ,22,45, UK         ,2023,2,1,8
52,53,sunday bike ride scenic trails, Positive  ,2/1/2023 13:30, BikeExplorer  , Instagram , #BikeRide #ScenicTrails                ,18,35, USA     ,2023,2,1,13
53,55,cant believe injustice happening society, Anger        ,2/11/2023 9:30, SocialJustice   , Twitter  , #Injustice #Angry                            ,20,40, Canada     ,2023,2,11,9
54,56,feeling sense fear watching thriller movie, Fear         ,2/11/2023 21:15, ThrillerFan     , Instagram , #Fear #ThrillerMovie                         ,15,30, USA          ,2023,2,11,21
55,57,heartbroken hearing news natural disaster, Sadness      ,2/12/2023 14:45, EmpathyFirst    , Facebook , #Sadness #NaturalDisaster                    ,25,50, India      ,2023,2,12,14
56,58,state worlds environment disgusting, Disgust      ,2/12/2023 18:20, EcoAwareness    , Twitter  , #Disgust #Environment                        ,18,35, UK         ,2023,2,12,18
57,59,pure happiness celebrating loved ones achievement, Happiness    ,2/13/2023 10:00, ProudFriend     , Instagram , #Happiness #Celebration                   ,30,60, USA ,2023,2,13,10
58,60,laughter best medicine—enjoying comedy show, Joy          ,2/13/2023 19:30, ComedyFan       , Facebook , #Joy #ComedyShow                             ,22,45, Canada    ,2023,2,13,19
59,61,sharing love positive vibes everyone ❤️, Love         ,2/14/2023 8:30, LoveSpreader    , Twitter  , #Love #SpreadLove                            ,15,30, Australia  ,2023,2,14,8
60,62,amusing incident brightened day, Amusement    ,2/14/2023 14:20, AmusedSoul      , Instagram , #Amusement #FunTimes                         ,18,35, UK           ,2023,2,14,14
61,63,enjoying quiet evening book tea, Enjoyment    ,2/14/2023 19:45, BookLoverAgain  , Facebook , #Enjoyment #BookTime                         ,25,50, Canada       ,2023,2,14,19
62,64,admiring beauty nature peaceful hike, Admiration   ,2/15/2023 11:30, NatureAdmirer   , Twitter  , #Admiration #Nature                         ,20,40, USA       ,2023,2,15,11
63,65,sending affectionate vibes followers, Affection    ,2/15/2023 16:00, AffectionSender , Instagram , #Affection #PositiveVibes                   ,15,30,USA,2023,2,15,16
64,66,experiencing awe breathtaking sunset, Awe          ,2/15/2023 20:30, AweStruck       , Facebook , #Awe #Breathtaking                          ,22,45, Australia   ,2023,2,15,20
65,67,disappointed service local restaurant, Disappointed ,2/16/2023 9:00, FoodieGoneWrong , Twitter  , #Disappointed #BadService                   ,18,35, India      ,2023,2,16,9
66,68,surprise gift friend made day, Surprise     ,2/16/2023 14:45, HappySurprise   , Instagram , #Surprise #Gift                              ,25,50, USA          ,2023,2,16,14
67,69,finding acceptance midst lifes challenges, Acceptance   ,2/16/2023 18:20, AcceptanceSeeker, Facebook , #Acceptance #Challenges                     ,15,30, Canada     ,2023,2,16,18
68,70,overflowing adoration adorable pet 🐾, Adoration    ,2/17/2023 10:45, PetAdorer       , Twitter  , #Adoration #PetLove                         ,22,45, UK        ,2023,2,17,10
69,71,anticipating thrilling adventure coming weeks, Anticipation ,2/17/2023 7:30, AdventureAwaits  , Instagram , #Anticipation #Adventure                    ,20,40,USA,2023,2,17,7
70,72,bitter experience turned valuable lesson, Bitter       ,2/17/2023 15:00, LearnFromBitter , Facebook , #BitterLesson #Growth                      ,18,35, USA       ,2023,2,17,15
71,73,finding calmness midst busy day, Calmness     ,2/18/2023 9:30, ZenMaster       , Twitter  , #Calmness #PeacefulMind                    ,15,30, India     ,2023,2,18,9
72,74,confusion clouds mind navigate decisions, Confusion    ,2/18/2023 14:20, ConfusedMind    , Instagram , #Confusion #DecisionMaking                 ,25,50, UK   ,2023,2,18,14
73,75,excitement building upcoming vacation, Excitement   ,2/18/2023 18:45, VacationDreamer , Facebook , #Excitement #TravelPlans                   ,22,45, Canada    ,2023,2,18,18
74,76,kindness witnessed today restored faith humanity, Kind         ,2/19/2023 11:30, KindnessPrevails, Twitter  , #Kindness #Humanity                        ,20,40, USA       ,2023,2,19,11
75,77,pride achieving personal milestone, Pride        ,2/19/2023 16:00, PersonalAchiever, Instagram , #Pride #Milestone                           ,30,60, Australia    ,2023,2,19,16
76,78,moment shame standing injustice, Shame        ,2/19/2023 19:45, ReflectiveSelf  , Facebook , #Shame #Injustice                           ,15,30, India      ,2023,2,19,19
77,79,fuming anger heated argument, Anger        ,2/20/2023 9:30, AngryDebater    , Twitter  , #Anger #Argument                             ,20,40, Canada     ,2023,2,20,9
78,80,fear unknown keeping night, Fear         ,2/20/2023 21:15, FearfulDreamer  , Instagram , #Fear #Unknown                               ,15,30, USA          ,2023,2,20,21
79,81,heartfelt sadness bidding farewell dear friend, Sadness      ,2/21/2023 14:45, FarewellHeart   , Facebook , #Sadness #Farewell                          ,25,50, India      ,2023,2,21,14
80,82,state corruption society utterly disgusting, Disgust      ,2/21/2023 18:20, AntiCorruption  , Twitter  , #Disgust #Corruption                         ,18,35, UK         ,2023,2,21,18
81,83,overflowing happiness welcoming new family member, Happiness    ,2/22/2023 10:00, NewParentJoy    , Instagram , #Happiness #NewFamilyMember                 ,30,60, UK           ,2023,2,22,10
82,84,laughter key joy—attending standup comedy show, Joy          ,2/22/2023 19:30, StandUpFan      , Facebook , #Joy #StandUpComedy                         ,22,45, Canada    ,2023,2,22,19
83,85,sending love followers beautiful day ❤️, Love         ,2/23/2023 8:30, LoveSender      , Twitter  , #Love #SpreadLove                            ,15,30, Australia  ,2023,2,23,8
84,86,amused antics pet—its pure amusement, Amusement    ,2/23/2023 14:20, PetAmuser       , Instagram , #Amusement #PetAntics                       ,18,35, UK           ,2023,2,23,14
85,87,enjoying every moment trip—pure enjoyment, Enjoyment    ,2/23/2023 19:45, TravelExplorer  , Facebook , #Enjoyment #Travel                           ,25,50, USA ,2023,2,23,19
86,88,admiring dedication volunteers local charity, Admiration   ,2/24/2023 11:30, CharityAdmirer  , Twitter  , #Admiration #Volunteers                     ,20,40, USA        ,2023,2,24,11
87,89,sending affectionate vibes friends family, Affection    ,2/24/2023 16:00, FamilyLover     , Instagram , #Affection #FamilyLove                      ,15,30,USA,2023,2,24,16
88,90,awestruck beauty night sky, Awe          ,2/24/2023 20:30, Stargazer       , Facebook , #Awe #StarryNight                        ,22,45, Australia ,2023,2,24,20
89,91,disappointed lack progress personal project, Disappointed ,2/25/2023 9:00, ProjectStruggle , Twitter  , #Disappointed #Project                     ,18,35, India      ,2023,2,25,9
90,92,surprise visit old friend brought tears joy, Surprise     ,2/25/2023 14:45, JoyfulReunion   , Instagram , #Surprise #OldFriends                       ,25,50, USA          ,2023,2,25,14
91,93,embracing acceptance lifes ups downs, Acceptance   ,2/25/2023 18:20, LifeAcceptance  , Facebook , #Acceptance #LifeJourney                   ,15,30, Canada     ,2023,2,25,18
92,94,overflowing adoration cute rescue puppy 🐶, Adoration    ,2/26/2023 10:45, PuppyAdmirer    , Twitter  , #Adoration #PuppyLove                       ,22,45, UK         ,2023,2,26,10
93,95,anticipating release muchawaited movie, Anticipation ,2/26/2023 7:30, MovieBuff2      , Instagram , #Anticipation #MovieRelease                 ,20,40, Australia    ,2023,2,26,7
94,96,bitter experience customer service department, Bitter       ,2/26/2023 15:00, CustomerWoes    , Facebook , #BitterExperience #CustomerService         ,18,35, USA       ,2023,2,26,15
95,97,finding calmness amidst chaos daily life, Calmness     ,2/27/2023 9:30, CalmSoul        , Twitter  , #Calmness #InnerPeace                      ,15,30, India     ,2023,2,27,9
96,98,confusion reigns try make sense recent events, Confusion    ,2/27/2023 14:20, ConfusedMind2   , Instagram , #Confusion #MakingSense                    ,25,50, UK   ,2023,2,27,14
97,99,excitement building surprise birthday party, Excitement   ,2/27/2023 18:45, BirthdayExcite  , Facebook , #Excitement #SurpriseParty                 ,22,45, Canada ,2023,2,27,18
98,100,witnessed act kindness made day, Kind         ,2/28/2023 11:30, KindnessObserver, Twitter  , #Kindness #ActsOfKindness                  ,20,40, USA       ,2023,2,28,11
99,101,pride completing challenging fitness challenge, Pride        ,2/28/2023 16:00, FitAchiever     , Instagram , #Pride #FitnessChallengeCompleted          ,30,60, UK            ,2023,2,28,16
100,102,moment shame speaking injustice, Shame        ,2/28/2023 19:45, ReflectiveSelf2 , Facebook , #Shame #Injustice                           ,15,30, India     ,2023,2,28,19
101,103,reflecting beauty diversity world, Acceptance   ,3/1/2023 10:45, DiversityLover  , Twitter  , #Acceptance #Diversity                      ,22,45, Australia ,2023,3,1,10
102,104,excitement quiet evening good book, Excitement   ,3/1/2023 13:30, BookwormJoy     , Instagram , #Excitement #BookTime                       ,18,35, USA          ,2023,3,1,13
103,105,feeling bitter unfairness workplace, Bitter       ,3/1/2023 17:45, WorkplaceWoes   , Twitter  , #Bitter #Unfairness                         ,15,30, Canada    ,2023,3,1,17
104,106,calmness prevails practice mindfulness, Calmness     ,3/2/2023 18:00, MindfulMe       , Facebook , #Calmness #Mindfulness                      ,15,30, UK        ,2023,3,2,18
105,107,confusion surrounds navigate lifes choices, Confusion ,3/2/2023 13:15, ConfusedMind3   , Instagram , #Confusion #LifeChoices                     ,30,60, USA   ,2023,3,2,13
106,108,excitement weekend road trip explore new places, Excitement ,3/2/2023 16:45, RoadTripper2    , Twitter  , #Excitement #WeekendAdventure               ,25,50, India     ,2023,3,2,16
107,109,kindness witnessed today restores faith humanity, Kind         ,3/3/2023 11:30, KindnessPrevails2, Facebook , #Kindness #HumanityRestored                 ,22,45, USA       ,2023,3,3,11
108,110,pride accomplishing personal professional goals, Pride        ,3/3/2023 14:30, GoalAchiever    , Instagram , #Pride #Accomplishments                     ,12,25, Canada ,2023,3,3,14
109,111,shame true values difficult situation, Shame ,3/3/2023 12:00, ReflectiveSelf3 , Twitter  , #Shame #Integrity                           ,15,30, UK        ,2023,3,3,12
110,112,revisiting old memories feeling sense elation, Elation       ,5/15/2010 15:30, NostalgiaFan    , Twitter  , #Elation #Memories                             ,20,40, Canada    ,2010,5,15,15
111,113,victory team brought euphoria city, Euphoria      ,8/10/2021 21:15, SportsFanatic   , Instagram , #Euphoria #Victory                             ,15,30, USA      ,2021,8,10,21
112,114,embracing beauty nature moment contentment, Contentment   ,6/20/2011 14:45, NatureLover2    , Facebook , #Contentment #Nature                           ,25,50, India       ,2011,6,20,14
113,115,meditating serene lake finding inner peace, Serenity      ,2/12/2022 18:20, ZenMaster2      , Twitter  , #Serenity #Meditation                          ,18,35, UK          ,2022,2,12,18
114,116,overflowing gratitude lifes blessings, Gratitude     ,11/25/2012 10:00, ThankfulHeart   , Instagram , #Gratitude #Blessed                            ,30,60, Australia   ,2012,11,25,10
115,117,hopeful brighter tomorrow despite challenges, Hope          ,4/5/2013 19:30, OptimisticSoul  , Facebook , #Hope #Optimism                                ,22,45, USA      ,2013,4,5,19
116,118,empowered make difference community, Empowerment   ,9/14/2014 8:30, CommunityLeader , Twitter  , #Empowerment #Community                        ,15,30, UK       ,2014,9,14,8
117,119,compassion action supporting local charity event, Compassion    ,7/18/2015 14:20, CharitySupporter, Instagram , #Compassion #CharityEvent                   ,18,35, Canada ,2015,7,18,14
118,120,moment tenderness connecting loved ones, Tenderness    ,2/23/2016 19:45, LovingHeart     , Facebook , #Tenderness #FamilyTime                       ,25,50, UK          ,2016,2,23,19
119,121,arousal excitement await special announcement, Arousal       ,10/30/2017 11:30, ExcitementFan   , Twitter  , #Arousal #Excitement                           ,20,40, Australia ,2017,10,30,11
120,122,enthusiastically diving new project, Enthusiasm    ,6/15/2018 16:00, ProjectEnthusiast, Instagram , #Enthusiasm #NewProject                       ,15,30, USA  ,2018,6,15,16
121,123,feeling sense fulfillment reaching milestone, Fulfillment  ,3/28/2019 18:20, MilestoneAchiever, Facebook , #Fulfillment #Milestone                       ,22,45, India     ,2019,3,28,18
122,124,reverence beauty historic landmark, Reverence     ,11/11/2019 15:00, HistoryLover    , Twitter  , #Reverence #History                           ,18,35, UK      ,2019,11,11,15
123,125,elation surprise reunion old friends, Elation       ,4/2/2020 9:30, JoyfulReunion2  , Instagram , #Elation #OldFriends                          ,25,50, Canada      ,2020,4,2,9
124,126,euphoria live music concert stars, Euphoria      ,6/19/2021 14:45, MusicEnthusiast , Facebook , #Euphoria #LiveMusic                          ,15,30, USA ,2021,6,19,14
125,127,contentment simplicity quiet sunday, Contentment   ,8/15/2010 10:00, SimpleJoys      , Twitter  , #Contentment #SundayMood                      ,30,60, Australia ,2010,8,15,10
126,128,serenity found pages favorite book, Serenity      ,9/22/2011 19:30, BookLover3      , Instagram , #Serenity #BookTime                           ,22,45, UK          ,2011,9,22,19
127,129,gratitude support received tough times, Gratitude     ,3/10/2012 8:30, SupportiveFriend, Facebook , #Gratitude #Supportive                        ,15,30, India     ,2012,3,10,8
128,130,hopeful possibilities new journey, Hope          ,12/5/2013 16:00, JourneyOptimist , Twitter  , #Hope #NewBeginnings                          ,18,35, Canada    ,2013,12,5,16
129,131,empowerment learning personal growth, Empowerment   ,7/20/2014 11:30, GrowthSeeker    , Instagram , #Empowerment #PersonalGrowth                  ,25,50,USA,2014,7,20,11
130,132,compassion towards need holidays, Compassion    ,12/22/2015 14:20, HolidayHelper   , Facebook , #Compassion #HolidaySupport                   ,18,35, USA      ,2015,12,22,14
131,133,tenderness warmth cozy winter evening, Tenderness    ,2/10/2016 19:45, WinterWarmth    , Twitter  , #Tenderness #CozyEvening                     ,25,50, UK       ,2016,2,10,19
132,134,arousal excitement upcoming adventure, Arousal       ,4/30/2017 11:30, AdventureAwaits , Instagram , #Arousal #AdventureTime                       ,20,40, Australia ,2017,4,30,11
133,135,enthusiasm creative project making, Enthusiasm    ,9/15/2018 16:00, CreativeSpirit  , Facebook , #Enthusiasm #Creativity                       ,15,30, Canada    ,2018,9,15,16
134,136,fulfillment completing challenging workout routine, Fulfillment  ,6/28/2019 18:20, FitnessAchiever , Twitter  , #Fulfillment #FitnessGoals                   ,22,45, India     ,2019,6,28,18
135,137,reverence artistry displayed museum, Reverence     ,11/11/2020 15:00, ArtAppreciator  , Instagram , #Reverence #ArtAppreciation                  ,18,35, UK        ,2020,11,11,15
136,138,elation achieving personal goal, Elation       ,3/2/2021 9:30, GoalAchiever2   , Facebook , #Elation #PersonalAchievement                ,25,50, USA      ,2021,3,2,9
137,139,elation discovering hidden gem city, Elation       ,2/18/2012 14:30, UrbanExplorer2  , Twitter  , #Elation #HiddenGem                            ,20,40, USA      ,2012,2,18,14
138,140,euphoria surprise birthday celebration, Euphoria      ,11/5/2018 21:45, BirthdayJoy     , Instagram , #Euphoria #BirthdaySurprise                   ,15,30, UK   ,2018,11,5,21
139,141,contentment simplicity homecooked meal, Contentment   ,9/12/2015 13:20, HomeChef        , Facebook , #Contentment #HomeCooking                     ,25,50, India    ,2015,9,12,13
140,142,serenity found melody peaceful piano, Serenity      ,7/30/2016 18:10, MusicLover4     , Twitter  , #Serenity #PeacefulMelody                    ,18,35, Canada      ,2016,7,30,18
141,143,gratitude supportive community around, Gratitude     ,4/20/2013 10:30, CommunityLove   , Instagram , #Gratitude #CommunitySupport                   ,30,60, USA ,2013,4,20,10
142,144,hopeful prospects new business venture, Hope          ,12/8/2017 19:15, EntrepreneurHope, Facebook , #Hope #BusinessVenture                        ,22,45, Canada    ,2017,12,8,19
143,145,empowerment mentoring guiding others, Empowerment   ,6/3/2014 8:20, MentorEmpower   , Twitter  , #Empowerment #Mentorship                      ,15,30, UK       ,2014,6,3,8
144,146,compassion shown acts kindness community, Compassion,1/15/2019 14:50, KindnessInAction, Instagram , #Compassion #CommunityKindness               ,18,35, Australia ,2019,1,15,14
145,147,tenderness heartfelt message loved one, Tenderness    ,12/25/2016 19:30, LoveExpress     , Facebook , #Tenderness #LoveNote                         ,25,50, UK          ,2016,12,25,19
146,148,arousal excitement muchawaited trip, Arousal       ,3/10/2018 9:45, TravelExcitement, Twitter  , #Arousal #TravelAdventure                     ,20,40, India    ,2018,3,10,9
147,149,enthusiasm new artistic project works, Enthusiasm    ,9/17/2020 16:30, ArtisticSpirit  , Instagram , #Enthusiasm #ArtisticProject                 ,15,30, USA       ,2020,9,17,16
148,150,feeling sense fulfillment helping others, Fulfillment   ,8/28/2011 18:45, HelperHeart     , Facebook , #Fulfillment #HelpingOthers                  ,22,45, Canada    ,2011,8,28,18
149,151,reverence historical significance landmark, Reverence ,11/1/2017 15:30, HistoryBuff     , Twitter  , #Reverence #HistoricalSite                   ,18,35, Australia ,2017,11,1,15
150,152,elation achieving fitness milestone, Elation       ,6/15/2019 10:00, FitnessAchiever2, Instagram , #Elation #FitnessMilestone                   ,25,50, UK           ,2019,6,15,10
151,153,euphoria successful product launch, Euphoria      ,4/3/2022 11:45, ProductLaunchJoy, Facebook , #Euphoria #ProductLaunchSuccess              ,15,30, USA       ,2022,4,3,11
152,154,contentment embrace loved one, Contentment   ,11/12/2010 20:20, LovingEmbrace   , Twitter  , #Contentment #Love                             ,30,60, India    ,2010,11,12,20
153,155,serenity found beauty sunset sea, Serenity      ,7/22/2011 18:30, SunsetWatcher2  , Instagram , #Serenity #SunsetViews                       ,22,45, Canada     ,2011,7,22,18
154,156,gratitude small joys day brings, Gratitude     ,3/30/2012 11:20, JoyfulHeart2    , Facebook , #Gratitude #SmallJoys                        ,15,30, Australia   ,2012,3,30,11
155,157,hopeful potential personal growth, Hope          ,10/5/2013 16:40, GrowthOptimist  , Twitter  , #Hope #PersonalDevelopment                    ,18,35, UK       ,2013,10,5,16
156,158,empowerment learning new skill, Empowerment   ,7/10/2014 13:15, SkillEmpower    , Instagram , #Empowerment #SkillBuilding                   ,25,50, India   ,2014,7,10,13
157,159,compassion volunteering local charity, Compassion    ,12/18/2015 14:20, CharityVolunteer, Facebook , #Compassion #VolunteerWork                   ,18,35, USA      ,2015,12,18,14
158,160,tenderness quiet moment shared pet, Tenderness    ,2/10/2016 19:45, PetLove         , Twitter  , #Tenderness #PetLove                          ,25,50, Canada   ,2016,2,10,19
159,161,arousal excitement upcoming festival, Arousal       ,9/25/2017 11:30, FestivalFan     , Instagram , #Arousal #FestivalExcitement               ,20,40, UK ,2017,9,25,11
160,162,enthusiasm diy home improvement project, Enthusiasm    ,4/15/2018 16:00, DIYEnthusiast   , Facebook , #Enthusiasm #HomeImprovement                 ,15,30, Australia   ,2018,4,15,16
161,163,fulfillment completing challenging puzzle, Fulfillment   ,11/28/2019 18:20, PuzzleMaster    , Twitter  , #Fulfillment #PuzzleChallenge                ,22,45, India    ,2019,11,28,18
162,164,reverence wonders nature hiking trail, Reverence ,5/11/2020 15:00, NatureAdmirer   , Instagram , #Reverence #NatureExploration                ,18,35, USA        ,2020,5,11,15
163,165,elation surprise reunion childhood friend, Elation   ,2/5/2021 9:30, ChildhoodJoy    , Facebook , #Elation #FriendshipReunion                  ,25,50, Canada      ,2021,2,5,9
164,166,suffering despair another setback, Despair         ,3/10/2021 8:30, StrugglingSoul    , Twitter  , #Despair #Struggle                              ,5,10, USA          ,2021,3,10,8
165,167,overwhelmed grief missing loved one dearly, Grief           ,7/5/2022 15:45, MourningHeart     , Instagram , #Grief #Loss                                   ,8,15, Canada          ,2022,7,5,15
166,168,loneliness creeps night grows colder, Loneliness      ,11/18/2019 21:20, SolitarySoul      , Facebook , #Loneliness #Isolation                         ,10,20, UK           ,2019,11,18,21
167,169,jealousy consumes witness others success, Jealousy        ,8/12/2020 11:30, EnviousObserver   , Twitter  , #Jealousy #Envy                               ,12,25, India        ,2020,8,12,11
168,170,resentment building past betrayals, Resentment      ,5/22/2018 14:45, BitterHeart       , Instagram , #Resentment #Bitterness                       ,7,15, Australia     ,2018,5,22,14
169,171,frustration mounts obstacles block path, Frustration     ,1/30/2017 16:10, BlockedGoals      , Facebook , #Frustration #Obstacles                       ,10,20, USA          ,2017,1,30,16
